,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
12,90,0.8,10,0.5,-3,86.3388671875,1.7199199000024237,-0.06867187500000001,-3.1589062500000002,0.20601562499999998,6.729843750000001,0.5634061000018846,hit,0.2,s,s,s,50
13,45,0.8,10,0.5,-3,91.91845703125,6.301317999997991,0.13734375000000001,-2.907109375,6.91296875,3.9371875000000003,0.5972265000018524,hit,0.3,s,s,s,50
14,135,1.0,10,0.5,-3,100.0,2.202417599997716,0.06867187500000001,-2.79265625,-6.500937500000001,3.7311718750000002,0.49724300000525545,hit,0.2,s,s,s,50
15,45,1.0,10,0.5,-3,100.0,2.7527247999969404,0.114453125,-2.88421875,7.2563281250000005,4.417890625,0.41367719999107067,hit,0.3,s,s,s,50
16,90,1.2,10,0.5,-3,100.0,1.7181339000089793,0.13734375000000001,-2.952890625,0.13734375000000001,7.09609375,0.5309818000096129,hit,0.3,s,s,s,50
17,135,0.2,10,0.5,-3,0.0,2.1014165000087814,0.04578125,-2.861328125,-6.935859375,4.188984375,0.8485768000100506,hit,0.3,s,s,s,50
18,135,0.8,10,0.5,-3,75.60888671875,3.401704499992775,0.20601562499999998,-3.0215625,-7.302109375000001,4.6696875,0.5134131999948295,hit,0.1,s,s,s,50
19,135,0.8,10,0.5,-3,68.45556640625,1.2569240000011632,0.0,-2.88421875,-7.09609375,3.79984375,0.2802382000081707,hit,0.3,s,s,s,50
20,90,1.2,10,0.5,-3,87.4833984375,1.240827800007537,0.183125,-2.952890625,0.22890625,6.729843750000001,0.3137896999978693,hit,0.3,s,s,s,50
21,135,1.0,10,0.5,-3,94.9228515625,1.5687502999935532,0.04578125,-2.952890625,-6.798515625,3.8456250000000005,0.48120000000926666,hit,0.3,s,s,s,50
22,135,0.2,10,0.5,-3,2.788085937500001,1.5363276999996742,-0.04578125,-3.1360156249999998,-7.210546875,4.097421875,0.8799184999952558,hit,0.1,s,s,s,50
23,45,0.8,10,0.5,-3,100.0,1.3024199000064982,0.27468750000000003,-2.952890625,6.798515625,3.8227343750000005,0.5806799999991199,hit,0.2,s,s,s,50
24,90,1.2,10,0.5,-3,100.0,1.2743373999983305,-0.27468750000000003,-2.8384375000000004,-0.36625,6.752734375,0.4790764999925159,hit,0.2,s,s,s,50
