,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,rt_start,name,sex,age,distance
37,135,0.2,14,0.5,-7,93.77832031250001,0.6560527000110596,0.0,-6.775625000000001,-10.186328125,3.227578125,0.6475341999903321,miss,0.1,0.6308175998274237,a,a,a,50
38,45,0.55,14,0.5,-7,100.0,0.5887283000629395,0.20601562499999998,-6.752734375,0.13734375000000001,-6.775625000000001,0.7133832999970764,no_response,0.1,0.6965529001317918,a,a,a,50
39,45,0.55,14,0.5,-7,96.21044921875,0.7207184000872076,-0.114453125,-7.187656250000001,10.11765625,3.044453125,0.7122047001030296,hit,0.1,0.6959381999913603,a,a,a,50
40,45,0.2,14,0.5,-7,99.93017578125001,0.688916299957782,0.27468750000000003,-7.0503124999999995,0.27468750000000003,-7.0503124999999995,0.7121769001241773,no_response,0.1,0.6965445999521762,a,a,a,50
41,45,0.75,14,0.5,-7,99.21484375,0.7051886001136154,-0.297578125,-6.8671875,9.84296875,2.70109375,0.7137968000024557,hit,0.1,0.6964394000824541,a,a,a,50
42,135,0.2,14,0.5,-7,89.05712890625,0.7369429999962449,-0.04578125,-6.91296875,-9.84296875,3.0215625,0.696304599987343,hit,0.1,0.679261100012809,a,a,a,50
43,135,0.28,14,0.5,-7,95.208984375,0.7379314999561757,-0.183125,-7.210546875,-9.911640625,2.8384375000000004,0.6134122998919338,hit,0.1,0.5971297998912632,a,a,a,50
44,135,0.2,14,0.5,-7,94.3505859375,0.6394052999094129,-0.06867187500000001,-6.91296875,-9.7971875,2.907109375,0.5966702001169324,hit,0.1,0.5795454999897629,a,a,a,50
45,45,0.28,14,0.5,-7,95.208984375,0.565740599995479,-0.13734375000000001,-7.141875000000001,-0.434921875,-7.210546875,0.7133837000001222,no_response,0.1,0.6967659001238644,a,a,a,50
46,45,0.28,14,0.5,-7,60.01464843749999,0.6891593998298049,0.22890625,-6.752734375,0.22890625,-6.752734375,0.7132321000099182,no_response,0.1,0.6969016001094133,a,a,a,50
47,45,0.75,14,0.5,-7,87.91259765625,0.7905168998986483,0.25179687500000003,-7.187656250000001,10.071875,2.88421875,0.6124621001072228,hit,0.1,0.5959731000475585,a,a,a,50
48,45,0.55,14,0.5,-7,64.5927734375,0.626028300030157,-0.0915625,-7.233437500000001,9.65984375,2.97578125,0.6803309998940676,hit,0.1,0.6636158998589963,a,a,a,50
49,45,0.2,14,0.5,-7,7.366210937500001,0.7048908998258412,0.06867187500000001,-7.027421875,9.6140625,3.0215625,0.6798384999856353,miss,0.1,0.6632364999968559,a,a,a,50
50,45,0.28,14,0.5,-7,89.486328125,0.7226768000982702,0.13734375000000001,-7.118984375000001,9.865859375000001,2.6553125,0.6456867000088096,hit,0.1,0.6292374997865409,a,a,a,50
51,45,0.75,14,0.5,-7,82.47607421875,0.9887256000656635,0.434921875,-6.8671875,9.6140625,2.5637499999999998,0.5627084001898766,hit,0.1,0.5462456999812275,a,a,a,50
52,135,0.39,14,0.5,-7,55.72265625,0.539462500018999,0.0,-7.187656250000001,-9.65984375,2.746875,0.712062600068748,hit,0.1,0.6955632001627237,a,a,a,50
53,135,0.39,14,0.5,-7,94.63671875,0.6891531001310796,0.13734375000000001,-7.073203125000001,-10.094765625,2.8384375000000004,0.6955949000548571,hit,0.1,0.6789256001356989,a,a,a,50
54,135,0.55,14,0.5,-7,100.0,0.737247500102967,0.41203124999999996,-6.981640625,-10.209218750000002,2.952890625,0.631102800136432,hit,0.1,0.6143767000176013,a,a,a,50
55,45,0.2,14,0.5,-7,30.972167968749996,0.821427799994126,0.22890625,-7.187656250000001,10.094765625,2.6095312500000003,0.6790483000222594,miss,0.1,0.6622484000399709,a,a,a,50
56,135,0.2,14,0.5,-7,23.3896484375,0.7393259000964463,0.04578125,-6.752734375,0.04578125,-6.752734375,0.7134762001223862,no_response,0.1,0.695847800001502,a,a,a,50
57,135,0.28,14,0.5,-7,54.29199218750001,0.8214775000233203,0.022890625,-7.027421875,-10.1634375,3.3649218750000003,0.6960523000452667,miss,0.1,0.6795549001544714,a,a,a,50
58,135,0.39,14,0.5,-7,100.0,0.7230603001080453,0.04578125,-7.004531250000001,-9.84296875,2.815546875,0.6455695999320596,hit,0.1,0.6293124998919666,a,a,a,50
59,45,0.55,14,0.5,-7,99.21484375,0.7185189998708665,0.13734375000000001,-7.0503124999999995,9.84296875,2.632421875,0.6791908000595868,hit,0.1,0.6629642001353204,a,a,a,50
