,direction,r,size_L,size_R,stage,theta_L,theta_R,type,w_L,w_R,x0,y0,x1,y1,theta_L1,theta_R1,rt,response,score,choose,name,sex,age,distance
95,False,7.0,8,16,phase_2,250,-70,s,30,30,-0.06867187500000001,-0.04578125,-4.211875,-2.1059375,213.65650599997025,-33.65650599997025,1.2117361000055098,no_response,-300,0,lll,1,23,50
96,False,7.0,24,16,phase_2,250,-70,vs,30,0,-0.20601562499999998,0.20601562499999998,-4.34921875,-3.3878125000000003,221.46912099982728,-70.0,0.0,hit,100,left,lll,1,23,50
97,False,7.0,8,24,phase_2,250,-70,vs,30,60,-0.0915625,0.25179687500000003,-4.0287500000000005,-4.280546875000001,223.50175900006434,-17.00351800012868,0.0,hit,100,left,lll,1,23,50
98,False,7.0,16,24,phase_2,250,-70,s,0,0,-0.13734375000000001,0.16023437499999998,1.7396875,-5.219062500000001,250.0,-70.0,1.2057587999952375,no_response,-300,0,lll,1,23,50
99,False,7.0,16,24,phase_2,250,-70,vs,30,60,-0.114453125,0.22890625,-4.0287500000000005,-3.8227343750000005,225.6279729999369,-21.255945999873802,0.0,hit,100,left,lll,1,23,50
100,True,7.0,24,24,phase_2,110,70,v,0,30,-0.114453125,0.06867187500000001,-2.0143750000000002,4.188984375,110.0,33.64045000016631,1.2122448999944027,no_response,-300,0,lll,1,23,50
101,False,7.0,8,24,phase_2,250,-70,vs,0,60,0.0915625,0.0915625,-2.0372656250000003,-5.150390625,250.0,-8.447631999733858,0.0,hit,100,left,lll,1,23,50
102,False,7.0,24,16,phase_2,250,-70,vs,30,0,-0.06867187500000001,-0.06867187500000001,-3.456484375,-4.3034375,226.59796599982656,-70.0,0.0,hit,100,left,lll,1,23,50
103,False,7.0,24,24,phase_2,250,-70,v,60,30,-0.0915625,0.13734375000000001,-5.058828125,-2.540859375,208.2669220000389,-49.13346100001945,0.0,hit,100,left,lll,1,23,50
104,False,7.0,8,24,phase_2,250,-70,vs,30,60,-0.022890625,0.114453125,-3.3420312500000002,-4.463671875,230.65946499991696,-31.318929999833927,0.0,hit,100,left,lll,1,23,50
105,False,7.0,24,8,phase_2,250,-70,vs,60,0,-0.022890625,0.13734375000000001,-4.6010156250000005,-3.1817968750000003,207.29925999999978,-70.0,0.0,hit,100,left,lll,1,23,50
106,False,7.0,24,8,phase_2,250,-70,vs,60,30,0.06867187500000001,0.04578125,-4.280546875000001,-3.639609375,216.2381859999732,-53.119092999986606,0.0,hit,100,left,lll,1,23,50
